Name,Sport,Team,Country,Endorsement_Earnings,FB_Followers,Instagram_Followers,Twitter_Followers
Lin Dan,Badminton,N/A,China,0.00,0.30,0.00,0.00
LeBron James,Basketball,Cleveland Cavaliers,USA,55.00,22.60,28.50,34.40
Kevin Durant,Basketball,Golden State Warriors,USA,36.00,10.30,0.00,15.50
Stephen Curry,Basketball,Golden State Warriors,USA,35.00,7.30,15.10,8.40
Dwyane Wade,Basketball,Chicago Bulls,USA,13.00,11.10,8.90,6.40
James Harden,Basketball,Houston Rockets,USA,20.00,0.75,4.80,4.10
Derrick Rose,Basketball,New York Knicks,USA,14.00,10.40,0.00,2.50
Kyrie Irving,Basketball,Cleveland Cavaliers,USA,13.00,2.70,8.70,3.30
Russell Westbrook,Basketball,Oklahoma City Thunder,USA,15.00,4.70,6.80,4.10
Carmelo Anthony,Basketball,New York Knicks,USA,8.00,5.40,4.90,8.80
Chris Paul,Basketball,Los Angeles Clippers,USA,8.00,4.80,6.30,6.00
Damian Lillard,Basketball,Portland Trail Blazers,USA,10.00,2.70,3.30,1.20
Blake Griffin,Basketball,Los Angeles Clippers,USA,8.00,3.90,3.10,4.10
Dwight Howard,Basketball,Atlanta Hawks,USA,4.50,4.80,2.10,6.70
Manny Pacquiao,Boxing,N/A,Philippines,2.50,11.50,3.70,0.12
Saul Alvarez,Boxing,N/A,Mexico,1.50,1.90,1.40,0.87
Virat Kohli,Cricket,Royal Challengers Bangalore,India,17.40,33.90,13.40,13.90
Mahendra Singh Doni,Cricket,Rising Pune Supergiants,India,16.00,19.70,5.10,6.00
Yuvraj Singh,Cricket,Sunrisers Hyderabad,India,1.30,13.30,3.00,4.10
Suresh Raina,Cricket,Gujarat Lions,India,0.34,2.80,2.70,7.70
Tom Brady,Football,New England Patriots,USA,8.00,4.30,2.00,0.00
Cam Newton,Football,Carolina Panthers,USA,12.00,2.00,3.70,0.95
Drew Brees,Football,New Orleans Saints,USA,12.00,2.00,0.47,2.70
Russell Wilson,Football,Seattle Seahawks,USA,10.00,2.20,2.90,3.20
Aaron Rodgers,Football,Green Bay Packers,USA,8.00,0.00,0.00,2.90
Eli Manning,Football,New York Giants,USA,8.00,0.00,0.00,0.00
Odell Beckham Jr.,Football,New York Giants,USA,6.00,1.40,7.80,2.10
J.J. Watt,Football,Houston Texans,USA,7.00,1.90,2.60,3.20
Lewis Hamilton,Formula One,N/A,England,4.00,3.80,3.90,4.20
Felipe Massa,Formula One,N/A,Brazil,7.00,0.77,2.60,1.10
Phil Mickelson,Golf,N/A,USA,50.00,0.00,0.00,0.00
Tiger Woods,Golf,N/A,USA,45.00,2.90,0.75,6.20
Rory Mcllroy,Golf,N/A,Northern Ireland,35.00,1.10,1.20,3.10
Jordan Spieth,Golf,N/A,USA,32.00,0.42,1.00,1.70
Dustin Johnson,Golf,N/A,USA,15.00,0.15,0.47,0.53
Sergio Garcia,Golf,N/A,Spain,13.00,0.13,0.12,0.71
Rickie Fowler,Golf,N/A,USA,11.00,0.11,1.00,1.40
Justin Rose,Golf,N/A,England,10.00,0.00,0.36,0.72
Jason Day,Golf,N/A,Australia,8.50,0.00,0.42,0.43
Bubba Watson,Golf,N/A,USA,7.00,0.43,0.56,1.90
Adam Scott,Golf,N/A,Australia,8.50,0.19,0.00,0.00
Simone Biles,Gymnastics,N/A,USA,1.70,0.96,3.50,0.94
Aly Raisman,Gymnastics,N/A,USA,0.45,0.51,2.20,0.91
Ronda Rousey,MMA,N/A,USA,8.00,11.30,9.50,3.40
Conor McGregor,MMA,N/A,Ireland,4.00,5.20,11.10,3.60
Anderson Silva,MMA,N/A,Brazil,8.00,5.90,2.60,7.90
Dale Earnhardt Jr.,NASCAR,N/A,USA,9.00,2.90,0.42,2.00
Jimmie Johnson,NASCAR,N/A,USA,7.00,1.00,0.32,2.40
Cristiano Ronaldo,Soccer,Real Madrid,Portugal,32.00,118.10,93.00,50.40
Lionel Messi,Soccer,Barcelona,Argentina,28.00,86.60,65.10,0.00
Neymar Neymar,Soccer,Barcelona,Brazil,23.00,58.60,68.20,27.30
Kaka Kaka,Soccer,Orlando City,Brazil,5.50,31.20,10.40,26.50
Gareth Bale,Soccer,Real Madrid,Wales,11.00,28.30,27.10,11.20
Zlatan Ibrahimovic,Soccer,Manchester United,Sweden,7.00,26.10,25.10,4.40
James Rodriguez,Soccer,Real Madrid,Colombia,7.00,31.70,29.30,11.90
Alexis Sanchez,Soccer,Arsenal,Chile,20.00,4.70,5.50,2.00
Mesut Ozil,Soccer,Arsenal,Germany,6.50,31.00,11.10,14.40
Wayne Rooney,Soccer,Manchester United,England,6.00,25.10,9.50,14.50
Antoine Griezmann,Soccer,Atletico Mardrid,France,5.70,6.70,8.70,3.40
Andres Iniesta,Soccer,Barcelona,Spain,2.40,23.20,17.20,15.50
Luis Suarez,Soccer,Barcelona,Uruguay,5.00,18.30,20.30,8.70
Paul Pogba,Soccer,Manchester United,France,3.60,6.30,13.20,3.20
Karim Benzema,Soccer,Real Madrid,France,5.00,22.70,17.30,5.20
Marcelo Vieira,Soccer,Real Madrid,Brazil,0.00,17.60,16.50,64.00
