title,genre,runtime,votes,rating,revenue,director,actor,description
Guardians of the Galaxy,Action,121,757074,8.1,333.13,James Gunn,Chris Pratt,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.
Prometheus,Adventure,124,485820,7.0,126.46,Ridley Scott,Noomi Rapace,Following clues to the origin of mankind a team finds a structure on a distant moon but they soon realize they are not alone.
Split,Horror,117,157606,7.3,138.12,M. Night Shyamalan,James McAvoy,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Sing,Animation,108,60545,7.2,270.32,Christophe Lourdelet,Matthew McConaughey,In a city of humanoid animals a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.
Suicide Squad,Action,123,393727,6.2,325.02,David Ayer,Will Smith,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.
The Great Wall,Action,103,56036,6.1,45.13,Yimou Zhang,Matt Damon,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.
La La Land,Comedy,128,258682,8.3,151.06,Damien Chazelle,Ryan Gosling,A jazz pianist falls for an aspiring actress in Los Angeles.
Mindhorn,Comedy,89,2490,6.4,0.50,Sean Foley,Essie Davis,A has-been actor best known for playing the title character in the 1980s detective series Mindhorn must work with the police when a serial killer says that he will only speak with Detective Mindhorn
The Lost City of Z,Action,141,7188,7.1,8.01,James Gray,Charlie Hunnam,A true-life drama centering on British explorer Col. Percival Fawcett who disappeared while searching for a mysterious city in the Amazon in the 1920s.
Passengers,Adventure,116,192177,7.0,100.01,Morten Tyldum,Jennifer Lawrence,A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result two passengers are awakened 90 years early.
Fantastic Beasts and Where to Find Them,Adventure,133,232072,7.5,234.02,David Yates,Eddie Redmayne,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.
Hidden Figures,Biography,127,93103,7.8,169.27,Theodore Melfi,Taraji P. Henson,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
Rogue One,Action,133,323118,7.9,532.17,Gareth Edwards,Felicity Jones,The Rebel Alliance makes a risky move to steal the plans for the Death Star setting up the epic saga to follow.
Moana,Animation,107,118151,7.7,248.75,Ron Clements,Auli'i Cravalho,In Ancient Polynesia when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island she answers the Ocean's call to seek out the Demigod to set things right.
Colossal,Action,109,8612,6.4,2.87,Nacho Vigalondo,Anne Hathaway,Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul she gradually comes to the realization that she is somehow connected to this phenomenon.
The Secret Life of Pets,Animation,87,120259,6.6,368.31,Chris Renaud,Louis C.K.,The quiet life of a terrier named Max is upended when his owner takes in Duke a stray whom Max instantly dislikes.
Hacksaw Ridge,Biography,139,211760,8.2,67.12,Mel Gibson,Andrew Garfield,WWII American Army Medic Desmond T. Doss who served during the Battle of Okinawa refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.
Jason Bourne,Action,123,150823,6.7,162.16,Paul Greengrass,Matt Damon,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.
