Name,Sex,Year,Occurrences
Mary,F,1910,22035
John,M,1910,7186
Mary,F,1911,23606
John,M,1911,8534
Mary,F,1912,31949
John,M,1912,16208
Mary,F,1913,36096
John,M,1913,19841
Mary,F,1914,43584
John,M,1914,25781
Mary,F,1915,55886
John,M,1915,31378
Mary,F,1916,58982
John,M,1916,32743
Mary,F,1917,61786
John,M,1917,30917
Mary,F,1918,65315
John,M,1918,30288
Mary,F,1919,63904
John,M,1919,24726
Mary,F,1920,67988
James,M,1920,24863
Mary,F,1921,71888
James,M,1921,25835
Mary,F,1922,69341
James,M,1922,27445
Mary,F,1923,68801
Robert,M,1923,27999
Mary,F,1924,71016
Robert,M,1924,30218
Mary,F,1925,67909
Robert,M,1925,30260
Mary,F,1926,63824
Robert,M,1926,29928
Mary,F,1927,69082
Robert,M,1927,29495
Mary,F,1928,63564
Robert,M,1928,31317
Mary,F,1929,61330
Robert,M,1929,28574
Mary,F,1930,59472
Robert,M,1930,32238
Mary,F,1931,55826
Robert,M,1931,37764
Mary,F,1932,50429
Robert,M,1932,32339
Mary,F,1933,51871
Robert,M,1933,27479
Mary,F,1934,54822
Robert,M,1934,35475
Mary,F,1935,41768
Robert,M,1935,41254
Mary,F,1936,50378
Robert,M,1936,43035
Mary,F,1937,53109
Robert,M,1937,44994
Mary,F,1938,50373
Robert,M,1938,44990
Mary,F,1939,48425
Robert,M,1939,39245
Mary,F,1940,49363
Robert,M,1940,39683
Mary,F,1941,50660
James,M,1941,38402
Mary,F,1942,53450
James,M,1942,43553
Mary,F,1943,57474
James,M,1943,46619
Mary,F,1944,54509
James,M,1944,44307
Mary,F,1945,47441
James,M,1945,42205
Mary,F,1946,52251
James,M,1946,48357
Linda,F,1947,90729
James,M,1947,51399
Linda,F,1948,87125
James,M,1948,48926
Linda,F,1949,82640
James,M,1949,47515
Linda,F,1950,68526
James,M,1950,45873
Linda,F,1951,50360
Robert,M,1951,36144
Linda,F,1952,37447
James,M,1952,38104
Mary,F,1953,40434
Michael,M,1953,40261
Mary,F,1954,47949
Michael,M,1954,43926
Mary,F,1955,34842
David,M,1955,28208
Mary,F,1956,37024
Michael,M,1956,50619
Mary,F,1957,47218
Michael,M,1957,53683
Mary,F,1958,40162
Michael,M,1958,46497
Mary,F,1959,48854
David,M,1959,38702
Mary,F,1960,41137
David,M,1960,43055
Mary,F,1961,35525
David,M,1961,41974
Lisa,F,1962,27933
David,M,1962,36667
Lisa,F,1963,52282
Michael,M,1963,37911
Lisa,F,1964,48927
John,M,1964,29589
Lisa,F,1965,60262
Michael,M,1965,65755
Lisa,F,1966,56853
Michael,M,1966,62042
Lisa,F,1967,51502
Michael,M,1967,72200
Lisa,F,1968,47561
Michael,M,1968,71596
Lisa,F,1969,40150
Michael,M,1969,74779
Jennifer,F,1970,37080
Michael,M,1970,77975
Jennifer,F,1971,52907
Michael,M,1971,71895
Jennifer,F,1972,62082
Michael,M,1972,64308
Jennifer,F,1973,62454
Michael,M,1973,55888
Jennifer,F,1974,63106
Michael,M,1974,56557
Jennifer,F,1975,58180
Michael,M,1975,59431
Jennifer,F,1976,59476
Michael,M,1976,57131
Jennifer,F,1977,58961
Michael,M,1977,54242
Jennifer,F,1978,56310
Michael,M,1978,58913
Jennifer,F,1979,53041
Michael,M,1979,60484
Jennifer,F,1980,53279
Michael,M,1980,60059
Jennifer,F,1981,53100
Michael,M,1981,62364
Jennifer,F,1982,54654
Michael,M,1982,47233
Jennifer,F,1983,48643
Michael,M,1983,45983
Jennifer,F,1984,34181
Michael,M,1984,43127
Ashley,F,1985,27234
Michael,M,1985,42785
Ashley,F,1986,27398
Michael,M,1986,45496
Ashley,F,1987,29809
Michael,M,1987,47883
Jessica,F,1988,30211
Michael,M,1988,48339
Ashley,F,1989,25295
Michael,M,1989,50024
Jessica,F,1990,22042
Michael,M,1990,53849
Ashley,F,1991,31529
Michael,M,1991,50939
Ashley,F,1992,25167
Michael,M,1992,45318
Ashley,F,1993,23873
Michael,M,1993,37175
Ashley,F,1994,16228
Michael,M,1994,22443
Jessica,F,1995,11059
Michael,M,1995,21296
Emily,F,1996,11069
Michael,M,1996,16452
Emily,F,1997,13308
Jacob,M,1997,14752
Emily,F,1998,15249
Jacob,M,1998,17333
Emily,F,1999,19507
Jacob,M,1999,17978
Emily,F,2000,17649
Jacob,M,2000,17604
Emily,F,2001,16107
Jacob,M,2001,16007
Emily,F,2002,14522
Jacob,M,2002,12425
Emily,F,2003,16210
Jacob,M,2003,12591
Emily,F,2004,14871
Michael,M,2004,9480
Emily,F,2005,15227
Jacob,M,2005,8052
Emily,F,2006,7663
Jacob,M,2006,7148
Isabella,F,2007,5750
Jacob,M,2007,5791
Isabella,F,2008,7423
William,M,2008,4987
Isabella,F,2009,14976
William,M,2009,4415
Isabella,F,2010,17068
Jacob,M,2010,10368
Sophia,F,2011,13919
Mason,M,2011,7287
Sophia,F,2012,12629
Jacob,M,2012,6047
