Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
0-1,0.005978,"100,000",598,"99,474","7,882,683",78.8
1-2,0.000409,"99,402",41,"99,382","7,783,209",78.3
2-3,0.000270,"99,362",27,"99,348","7,683,827",77.3
3-4,0.000204,"99,335",20,"99,325","7,584,479",76.4
4-5,0.000171,"99,315",17,"99,306","7,485,154",75.4
5-6,0.000146,"99,298",15,"99,290","7,385,848",74.4
6-7,0.000127,"99,283",13,"99,277","7,286,558",73.4
7-8,0.000112,"99,270",11,"99,265","7,187,281",72.4
8-9,0.000098,"99,259",10,"99,254","7,088,016",71.4
9-10,0.000087,"99,250",9,"99,245","6,988,762",70.4
10-11,0.000082,"99,241",8,"99,237","6,889,517",69.4
11-12,0.000089,"99,233",9,"99,228","6,790,280",68.4
12-13,0.000117,"99,224",12,"99,218","6,691,052",67.4
13-14,0.000167,"99,212",17,"99,204","6,591,833",66.4
14-15,0.000236,"99,196",23,"99,184","6,492,629",65.5
15-16,0.000310,"99,172",31,"99,157","6,393,445",64.5
16-17,0.000384,"99,142",38,"99,123","6,294,288",63.5
17-18,0.000465,"99,103",46,"99,080","6,195,166",62.5
18-19,0.000551,"99,057",55,"99,030","6,096,086",61.5
19-20,0.000637,"99,003",63,"98,971","5,997,055",60.6
20-21,0.000726,"98,940",72,"98,904","5,898,084",59.6
21-22,0.000806,"98,868",80,"98,828","5,799,181",58.7
22-23,0.000868,"98,788",86,"98,745","5,700,353",57.7
23-24,0.000905,"98,702",89,"98,658","5,601,607",56.8
24-25,0.000924,"98,613",91,"98,568","5,502,949",55.8
25-26,0.000939,"98,522",93,"98,476","5,404,382",54.9
26-27,0.000957,"98,430",94,"98,382","5,305,906",53.9
27-28,0.000977,"98,335",96,"98,287","5,207,524",53.0
28-29,0.001002,"98,239",98,"98,190","5,109,237",52.0
29-30,0.001030,"98,141",101,"98,090","5,011,047",51.1
30-31,0.001061,"98,040",104,"97,988","4,912,956",50.1
31-32,0.001094,"97,936",107,"97,882","4,814,969",49.2
32-33,0.001127,"97,829",110,"97,773","4,717,087",48.2
33-34,0.001161,"97,718",113,"97,662","4,619,313",47.3
34-35,0.001200,"97,605",117,"97,546","4,521,652",46.3
35-36,0.001251,"97,488",122,"97,427","4,424,105",45.4
36-37,0.001317,"97,366",128,"97,302","4,326,679",44.4
37-38,0.001394,"97,237",136,"97,170","4,229,377",43.5
38-39,0.001480,"97,102",144,"97,030","4,132,207",42.6
39-40,0.001575,"96,958",153,"96,882","4,035,177",41.6
40-41,0.001680,"96,805",163,"96,724","3,938,295",40.7
41-42,0.001802,"96,643",174,"96,556","3,841,571",39.8
42-43,0.001950,"96,469",188,"96,375","3,745,016",38.8
43-44,0.002130,"96,281",205,"96,178","3,648,641",37.9
44-45,0.002344,"96,075",225,"95,963","3,552,463",37.0
45-46,0.002575,"95,850",247,"95,727","3,456,500",36.1
46-47,0.002824,"95,603",270,"95,468","3,360,773",35.2
47-48,0.003112,"95,333",297,"95,185","3,265,305",34.3
48-49,0.003437,"95,037",327,"94,873","3,170,120",33.4
49-50,0.003787,"94,710",359,"94,531","3,075,246",32.5
50-51,0.004146,"94,351",391,"94,156","2,980,715",31.6
51-52,0.004509,"93,960",424,"93,748","2,886,560",30.7
52-53,0.004884,"93,537",457,"93,308","2,792,811",29.9
53-54,0.005282,"93,080",492,"92,834","2,699,503",29.0
54-55,0.005708,"92,588",528,"92,324","2,606,669",28.2
55-56,0.006167,"92,060",568,"91,776","2,514,345",27.3
56-57,0.006651,"91,492",609,"91,188","2,422,569",26.5
57-58,0.007156,"90,883",650,"90,558","2,331,382",25.7
58-59,0.007673,"90,233",692,"89,887","2,240,823",24.8
59-60,0.008210,"89,541",735,"89,173","2,150,937",24.0
60-61,0.008784,"88,805",780,"88,415","2,061,763",23.2
61-62,0.009408,"88,025",828,"87,611","1,973,348",22.4
62-63,0.010083,"87,197",879,"86,758","1,885,737",21.6
63-64,0.010819,"86,318",934,"85,851","1,798,979",20.8
64-65,0.011628,"85,384",993,"84,888","1,713,128",20.1
65-66,0.012530,"84,391","1,057","83,863","1,628,240",19.3
66-67,0.013534,"83,334","1,128","82,770","1,544,378",18.5
67-68,0.014658,"82,206","1,205","81,604","1,461,608",17.8
68-69,0.015888,"81,001","1,287","80,358","1,380,004",17.0
69-70,0.017236,"79,714","1,374","79,027","1,299,647",16.3
70-71,0.018831,"78,340","1,475","77,603","1,220,619",15.6
71-72,0.020693,"76,865","1,591","76,070","1,143,017",14.9
72-73,0.022723,"75,274","1,710","74,419","1,066,947",14.2
73-74,0.024884,"73,564","1,831","72,649","992,528",13.5
74-75,0.027216,"71,733","1,952","70,757","919,879",12.8
75-76,0.029822,"69,781","2,081","68,741","849,122",12.2
76-77,0.032876,"67,700","2,226","66,587","780,381",11.5
77-78,0.036328,"65,474","2,379","64,285","713,794",10.9
78-79,0.040156,"63,096","2,534","61,829","649,509",10.3
79-80,0.044699,"60,562","2,707","59,209","587,680",9.7
80-81,0.049419,"57,855","2,859","56,426","528,471",9.1
81-82,0.054529,"54,996","2,999","53,497","472,046",8.6
82-83,0.060341,"51,997","3,138","50,428","418,549",8.0
83-84,0.067163,"48,860","3,282","47,219","368,121",7.5
84-85,0.074785,"45,578","3,409","43,874","320,902",7.0
85-86,0.083577,"42,169","3,524","40,407","277,029",6.6
86-87,0.093319,"38,645","3,606","36,842","236,621",6.1
87-88,0.103993,"35,039","3,644","33,217","199,779",5.7
88-89,0.115643,"31,395","3,631","29,580","166,562",5.3
89-90,0.128300,"27,764","3,562","25,983","136,983",4.9
90-91,0.141986,"24,202","3,436","22,484","111,000",4.6
91-92,0.156706,"20,766","3,254","19,139","88,516",4.3
92-93,0.172451,"17,512","3,020","16,002","69,377",4.0
93-94,0.189191,"14,492","2,742","13,121","53,375",3.7
94-95,0.206875,"11,750","2,431","10,535","40,254",3.4
95-96,0.225433,"9,319","2,101","8,269","29,719",3.2
96-97,0.244768,"7,218","1,767","6,335","21,451",3.0
97-98,0.264767,"5,452","1,443","4,730","15,116",2.8
98-99,0.285296,"4,008","1,144","3,436","10,386",2.6
99-100,0.306203,"2,865",877,"2,426","6,949",2.4
100 and over,1.000000,"1,987","1,987","4,523","4,523",2.3
,,,,,,
